prem_id	premise	hypothesis_id	hypothesis	label
prem1	Zozketa notario aten aitzinian iten da ta xifre ekiprobableak zartzeko programa informatiko atekilan iten da.	prem1_hyp0	Ordenagailu bat eta notario bat behar dira zozketa egiteko.	0
prem1	Zozketa notario aten aitzinian iten da ta xifre ekiprobableak zartzeko programa informatiko atekilan iten da.	prem1_hyp1	Zozketa guztietan notario bera izaten da normalean.	1
prem1	Zozketa notario aten aitzinian iten da ta xifre ekiprobableak zartzeko programa informatiko atekilan iten da.	prem1_hyp2	Zozketa zenbakidun papertxoak ontzi batean sartu eta ausaz bat hartuta egiten da.	2
prem2	Enrike Eizairre ta Ane Saasketa Arratiako dantza kilikaarria maiten.	prem2_hyp1	Anek eta Enrikek galtza urdinak dituzte.	1
prem2	Enrike Eizairre ta Ane Saasketa Arratiako dantza kilikaarria maiten.	prem2_hyp0	Enrike eta Ane dantza-pausuak egiten.	0
prem2	Enrike Eizairre ta Ane Saasketa Arratiako dantza kilikaarria maiten.	prem2_hyp2	Enrike Izagirre eta Ane Sarasketa izozkia jaten ari ziren.	2
prem3	Sorgintxulo gaztetxia 1998. (mila beatzieun ta lautan hooitamezortzi arren) urtian okupatia zan da Karmelo elizain ganbera hutsetan.	prem3_hyp2	Sorgintxulo gaztetxea udaletxeak eman zion gazte talde bati.	2
prem3	Sorgintxulo gaztetxia 1998. (mila beatzieun ta lautan hooitamezortzi arren) urtian okupatia zan da Karmelo elizain ganbera hutsetan.	prem3_hyp1	Hainbat kontzertu eskaintzen dira Sorgintxulo gaztetxean.	1
prem3	Sorgintxulo gaztetxia 1998. (mila beatzieun ta lautan hooitamezortzi arren) urtian okupatia zan da Karmelo elizain ganbera hutsetan.	prem3_hyp0	Sorgintxulo gaztetxearen jabea Karmelo eliza zen.	0
prem4	Beatzi kantuz osatu diskuan hardcora rock ta metalaikilan nahasia da.	prem4_hyp1	Abesti bakoitzaren iraupena hiru minutu ingurukoa da, baina sei minutuko bat ere badago.	1
prem4	Beatzi kantuz osatu diskuan hardcora rock ta metalaikilan nahasia da.	prem4_hyp2	Doinu lasaiak dira nagusi diskoan.	2
