prem_id	premise	hypothesis_id	hypothesis	label
prem1	Sorteua notariyo baten aurrian ittea ta zenbaki ekiprobabliak esleitzeko programa informatiko baten bidez ittea.	prem1_hyp0	Ordenagailu bat eta notario bat behar dira zozketa egiteko.	0
prem1	Sorteua notariyo baten aurrian ittea ta zenbaki ekiprobabliak esleitzeko programa informatiko baten bidez ittea.	prem1_hyp1	Zozketa guztietan notario bera izaten da normalean.	1
prem1	Sorteua notariyo baten aurrian ittea ta zenbaki ekiprobabliak esleitzeko programa informatiko baten bidez ittea.	prem1_hyp2	Zozketa zenbakidun papertxoak ontzi batean sartu eta ausaz bat hartuta egiten da.	2
prem2	Enrike Eizagirre eta Ane Sarasketa Arratiako dantza kilikagarriya eskeintzen.	prem2_hyp0	Enrike eta Ane dantza-pausuak egiten.	0
prem2	Enrike Eizagirre eta Ane Sarasketa Arratiako dantza kilikagarriya eskeintzen.	prem2_hyp2	Enrike Izagirre eta Ane Sarasketa izozkia jaten ari ziren.	2
prem2	Enrike Eizagirre eta Ane Sarasketa Arratiako dantza kilikagarriya eskeintzen.	prem2_hyp1	Anek eta Enrikek galtza urdinak dituzte.	1
prem3	Sorgintxulo gaztetxia 1998. urtian okupau zan Karmelo elizan lokal hutsetan.	prem3_hyp1	Hainbat kontzertu eskaintzen dira Sorgintxulo gaztetxean.	1
prem3	Sorgintxulo gaztetxia 1998. urtian okupau zan Karmelo elizan lokal hutsetan.	prem3_hyp0	Sorgintxulo gaztetxearen jabea Karmelo eliza zen.	0
prem3	Sorgintxulo gaztetxia 1998. urtian okupau zan Karmelo elizan lokal hutsetan.	prem3_hyp2	Sorgintxulo gaztetxea udaletxeak eman zion gazte talde bati.	2
prem4	Beatzi kantaz osautako diskuan hardcorea rock eta metalakin nahasteya.	prem4_hyp0	Diskoak hamar kantu baino gutxiago ditu guztira.	0
prem4	Beatzi kantaz osautako diskuan hardcorea rock eta metalakin nahasteya.	prem4_hyp2	Doinu lasaiak dira nagusi diskoan.	2
prem4	Beatzi kantaz osautako diskuan hardcorea rock eta metalakin nahasteya.	prem4_hyp1	Abesti bakoitzaren iraupena hiru minutu ingurukoa da, baina sei minutuko bat ere badago.	1
prem5	Etzi ailleauko da “Ballerina” filma zineta, euskeraz.	prem5_hyp1	"Animaziozko filma da ""Ballerina"" eta Frantzian egina."	1
prem5	Etzi ailleauko da “Ballerina” filma zineta, euskeraz.	prem5_hyp2	"Hilabete barru arte ezingo da ""Ballerina"" zineman ikusi."	2
prem5	Etzi ailleauko da “Ballerina” filma zineta, euskeraz.	prem5_hyp0	Ballerina filma euskaraz ikusi ahal izango da.	0
prem6	Gaur kaleratu da Solte talde santutxuarran lan berriya.	prem6_hyp0	Santutxuko Solte taldeak lan berria egin du.	0
prem6	Gaur kaleratu da Solte talde santutxuarran lan berriya.	prem6_hyp2	Solte taldea duela hiru urte desagertu zen.	2
